,p_lat,p_long,num_pickups,total_revenue,average_passinger
384126,40.6454,-73.7767,4426,181926.33,1.73655671035
76920,40.7442,-74.0067,3961,45321.5,1.71598081293
115266,40.75,-74.0026,3929,41910.0,1.7691524561
287583,40.7424,-74.0043,3882,43840.2,1.79546625451
153527,40.7409,-74.0076,3477,42614.38,1.72274949669
364877,40.6453,-73.7767,3456,143396.0,1.69733796296
77428,40.6447,-73.7819,3423,140375.49,1.6964650891
57841,40.7441,-74.0067,3223,36252.5,1.73254731617
38344,40.7501,-74.0025,3040,32934.0,1.84309210526
384027,40.7499,-74.0026,2936,30747.5,1.77792915531
191875,40.7582,-73.9378,2934,48803.83,2.18200408998
134244,40.7441,-74.0068,2875,32991.53,1.67652173913
38474,40.7269,-73.9915,2840,30343.0,1.82042253521
153632,40.6447,-73.782,2823,116335.0,1.7190931633
345288,40.7423,-74.0043,2713,30881.8,1.72060449687
326064,40.7512,-73.9941,2626,31744.0,1.50152322925
191755,40.7499,-74.0027,2609,27789.0,1.68800306631
3,40.7402,-74.0059,2472,29700.5,1.79449838188
96131,40.741,-74.0075,2464,30366.75,1.81331168831
96222,40.7212,-73.9936,2457,27870.0,1.85592185592
