p_lat,p_long,num_pickups,total_revenue,average_passinger
40.6454,-73.7767,4426,181926.33,1.73655671
40.7442,-74.0067,3961,45321.5,1.715980813
40.75,-74.0026,3929,41910,1.769152456
40.7424,-74.0043,3882,43840.2,1.795466255
40.7409,-74.0076,3477,42614.38,1.722749497
40.6453,-73.7767,3456,143396,1.697337963
40.6447,-73.7819,3423,140375.49,1.696465089
40.7441,-74.0067,3223,36252.5,1.732547316
40.7501,-74.0025,3040,32934,1.843092105
40.7499,-74.0026,2936,30747.5,1.777929155
40.7582,-73.9378,2934,48803.83,2.18200409
40.7441,-74.0068,2875,32991.53,1.676521739
40.7269,-73.9915,2840,30343,1.820422535
40.6447,-73.782,2823,116335,1.719093163
40.7423,-74.0043,2713,30881.8,1.720604497
40.7512,-73.9941,2626,31744,1.501523229
40.7499,-74.0027,2609,27789,1.688003066
40.7402,-74.0059,2472,29700.5,1.794498382
40.741,-74.0075,2464,30366.75,1.813311688
40.7212,-73.9936,2457,27870,1.855921856
40.7421,-74.004,2428,27396,1.73970346
40.6448,-73.7818,2392,104763.5,1.881688963
40.7424,-74.0044,2362,28282.77,1.859017782
40.74,-74.006,2325,28516.5,1.760430108
40.7421,-74.0041,2244,24797.5,1.737076649
40.7211,-73.9937,2214,25522,1.703252033
40.6447,-73.7818,2195,91189.7,1.7476082
40.7422,-74.0042,2189,24545.2,1.745545911
40.7269,-73.9916,2163,22699.5,1.7716135
40.7443,-74.0066,2141,25164.5,1.905184493
40.7256,-73.9839,2100,27878,1.767619048
40.742,-74.0039,2088,22515,1.79789272
40.7399,-74.0054,2056,23338,1.700875486
40.7189,-73.9889,2053,25576.5,1.801753531
40.7404,-74.0079,2042,24905.5,1.88589618
40.6447,-73.7821,2034,83877,1.723205506
40.7442,-74.0066,2032,22608.75,1.799704724
40.7425,-74.0043,2029,23881,1.785115821
40.75,-74.0025,2026,21468.5,1.906219151
40.6454,-73.7768,2006,84452,1.757228315
40.7408,-74.0076,1992,24458,1.72188755
40.7295,-73.9871,1985,23094.5,1.788916877
40.7401,-74.0059,1982,24094.5,1.791624622
40.726,-73.9836,1958,24171,1.732890705
40.742,-74.004,1949,21685.5,1.747562853
40.7219,-73.992,1947,22830.5,1.690292758
40.6448,-73.7819,1942,81589.5,1.839340886
40.7425,-74.0042,1910,21983.2,1.766492147
40.727,-73.9915,1903,20822.5,1.879138203
40.7395,-74.0019,1898,20543.5,1.761854584
40.7422,-74.0041,1862,20563.5,1.574113856
40.7294,-73.9871,1861,21912,1.880171951
40.7502,-74.0025,1855,22248.5,1.786522911
40.7409,-74.0075,1839,22514,1.744426319
40.7294,-73.9872,1836,21401,1.839324619
40.7199,-73.9875,1824,23924.5,1.764254386
40.7443,-74.0067,1824,20741.5,1.811403509
40.7293,-73.9872,1813,21904.5,1.93325979
40.7212,-73.9937,1811,20596.5,1.819436775
40.7442,-74.0068,1807,20374,1.694521306
40.7215,-73.9891,1801,22602,1.719044975
40.7334,-74.0063,1798,20457.5,1.717463849
40.7213,-73.9936,1778,20475,1.938695163
40.7423,-74.0044,1762,19839,1.819523269
40.721,-73.9976,1757,18220.6,1.74786568
40.7227,-73.9886,1738,24038.5,1.816455696
40.7403,-74.0058,1738,21258,1.789413119
40.744,-74.0067,1725,20439,1.831304348
40.7395,-74.002,1724,19186.5,1.770301624
40.744,-74.0068,1676,19997.4,1.725536993
40.6446,-73.7821,1676,68029.5,1.616945107
40.7421,-74.0039,1673,18270,1.721458458
40.7211,-73.9936,1664,19314,1.857572115
40.7187,-73.9892,1657,22622,1.834640917
40.7513,-73.9941,1656,21114.8,1.548309179
40.7335,-74.0063,1633,18880,1.772198408
40.6453,-73.7768,1631,66884.5,1.70324954
40.7311,-74.0013,1630,25016,1.700613497
40.7268,-73.9916,1628,17408,1.688574939
40.6446,-73.7822,1628,66944.5,1.651719902
40.7498,-74.0027,1627,17597.5,1.743085433
40.7411,-74.0074,1621,20220.7,1.752004935
40.7399,-74.0061,1615,19873,1.769040248
40.7741,-73.8745,1614,43320,1.680916976
40.7406,-74.0086,1599,19793.5,1.789868668
40.7188,-73.9892,1599,21903.5,1.916197624
40.719,-73.9891,1596,19940.5,1.74122807
40.7197,-73.9876,1592,21163.28,1.76821608
40.7188,-73.9893,1584,22157,1.765151515
40.7395,-74.0064,1584,19856.5,1.794823232
40.7642,-73.9885,1583,21178,1.639924195
40.7189,-73.9888,1579,19914.5,1.775174161
40.7218,-73.992,1567,18472,1.817485641
40.731,-74.0014,1559,22890.5,1.852469532
40.7422,-74.0043,1554,17959.5,1.719433719
40.7261,-73.9918,1553,17693,1.793947199
40.741,-74.0051,1552,18481.5,1.818943299
40.7296,-73.9898,1549,20107.5,1.724983861
40.7406,-74.0078,1542,18646.5,1.86381323
40.7337,-74.0029,1539,20146.5,1.662768031
40.7398,-74.0054,1538,17060.5,1.751625488
40.7216,-73.989,1536,19589.1,1.807291667
40.7396,-74.0026,1528,18853.5,1.714659686
40.721,-73.9937,1523,17796.5,1.842416284
40.7312,-74.0013,1520,22776,1.775
40.7594,-73.9365,1514,25182.75,1.92338177
40.7738,-73.8709,1503,40166,1.771124418
40.7513,-73.994,1502,19511,1.71171771
40.7215,-73.989,1489,18603.5,1.781061115
40.7396,-74.0064,1486,18743.5,1.83512786
40.6446,-73.782,1483,58561.5,1.507080243
40.7424,-74.0042,1483,16989.5,1.637221848
40.74,-74.0054,1482,17042,1.790148448
40.7426,-74.0042,1472,17171,1.769021739
40.7262,-73.9918,1464,16155,1.739071038
40.7407,-74.0077,1450,17692,1.831724138
40.7408,-74.005,1443,18811.5,1.652113652
40.7186,-73.988,1434,20462.5,1.660390516
40.741,-74.0076,1433,18433.2,1.70551291
40.719,-73.9892,1423,18043.5,1.898805341
40.742,-74.0038,1416,15311.5,1.815677966
40.7423,-74.0042,1414,16071.5,1.705799151
40.6452,-73.7767,1404,58193.5,1.532051282
40.7396,-74.0021,1400,16924.5,1.713571429
40.7212,-73.9878,1394,17839.5,1.718077475
40.7402,-74.0058,1384,16818,1.848265896
40.7338,-74.0026,1380,17748.5,1.773188406
40.7422,-74.004,1380,15138.5,1.678985507
40.742,-74.0041,1378,15756,1.672714078
40.7299,-73.9808,1376,17406.5,1.783430233
40.7397,-74.0063,1376,17584.49,1.814680233
40.7298,-73.9808,1375,17394.5,1.814545455
40.7401,-74.006,1370,16056,1.804379562
40.7316,-74.001,1364,19495.1,1.766129032
40.7189,-73.9904,1361,15659.5,1.763409258
40.7316,-74.0011,1361,20453,1.662747979
40.7585,-73.9378,1359,22061.5,2.138337013
40.7189,-73.9891,1355,17022.1,1.748339483
40.7583,-73.9379,1351,22526.75,2.234641007
40.727,-73.9917,1346,14286.1,1.791976226
40.7334,-74.003,1341,19429,1.762863535
40.7211,-73.9975,1339,13465.5,1.817774459
40.7405,-74.0079,1336,16675,1.866017964
40.7644,-73.9958,1333,15905,1.848462116
40.7737,-73.8708,1333,35806,1.806451613
40.7198,-73.9876,1329,18037,1.723100075
40.73,-74.0005,1327,17786.5,1.961567445
40.7511,-73.9941,1323,16577.25,1.532879819
40.6446,-73.7823,1322,54723.5,1.749621785
40.7737,-73.8709,1319,34451.75,1.879454132
40.7339,-74.0027,1316,16543,1.728723404
40.7501,-74.0026,1316,14428.5,1.70668693
40.7337,-74.0028,1313,16896.5,1.753998477
40.726,-73.9919,1308,14631.5,1.779051988
40.7502,-74.0024,1308,15527,1.867737003
40.7272,-73.9918,1307,13701.5,1.839326702
40.7211,-73.9976,1307,13353.5,1.768171385
40.7277,-73.9852,1304,16218.12,1.64493865
40.7511,-73.9942,1296,16127.5,1.447530864
40.7325,-73.9877,1294,14440,1.795981453
40.7395,-74.0018,1293,13953.5,1.750966744
40.7444,-74.0066,1288,14509.5,2.033385093
40.7397,-74.0023,1287,16526,1.73970474
40.7419,-74.0039,1285,14109.5,1.754863813
40.7512,-73.994,1284,15780,1.602803738
40.727,-73.9916,1284,13243.5,1.777258567
40.7402,-74.0053,1276,15792.5,1.785266458
40.7209,-73.9976,1272,12980.5,1.680031447
40.7421,-74.0042,1267,13491.5,1.729281768
40.7643,-73.9885,1262,16746.5,1.529318542
40.7403,-74.0059,1261,15382,1.721649485
40.7284,-73.9996,1256,16774.5,1.726910828
40.7214,-73.9886,1254,15495.5,1.779904306
40.7234,-73.9883,1251,15812.5,1.745803357
40.725,-73.9843,1248,16552,1.740384615
40.6452,-73.7768,1247,52725,1.663993585
40.7291,-73.9873,1242,16103,1.679549114
40.7333,-74.0031,1240,17610.5,1.667741935
40.7395,-74.0021,1234,14970,1.679902755
40.7217,-73.989,1233,15157,1.725871857
40.7255,-73.9839,1231,15764,1.75792039
40.7337,-74.0025,1228,15978.5,1.671009772
40.741,-74.0074,1227,15017.5,1.762836186
40.7189,-73.989,1225,15543,1.907755102
40.7201,-73.9883,1224,15776,1.793300654
40.7741,-73.873,1221,32267.33,1.71990172
40.6455,-73.7768,1217,53284.51,1.811010682
40.7407,-74.0052,1213,15709,1.686727123
40.7301,-74.0004,1212,15596,1.75
40.774,-73.8745,1211,32583.99,1.549132948
40.7279,-73.9991,1208,15739.5,1.764900662
40.7514,-73.994,1206,14991.5,1.730514096
40.7394,-74.0064,1199,15014,1.782318599
40.7741,-73.8731,1198,31885.75,1.833055092
40.7642,-73.9884,1194,15540,1.771356784
40.7404,-74.0058,1192,14496,1.69966443
40.74,-74.0053,1189,13953,1.752733389
40.7149,-73.9517,1189,15324,1.849453322
40.7396,-74.0022,1188,15564,1.792929293
40.7608,-73.9904,1188,16206.5,1.82996633
40.7396,-74.002,1185,13383,1.778059072
40.7336,-74.0063,1185,14032,1.83628692
40.7259,-73.9837,1182,15545,1.74534687
40.744,-74.0066,1182,13717,1.788494078
40.7188,-73.9894,1182,16940.5,1.802876481
40.7267,-73.9916,1181,12506.5,1.842506351
40.7394,-74.0065,1178,14884,1.729202037
40.7405,-74.0057,1178,13697.8,1.89049236
40.7338,-74.0027,1177,15389.5,1.686491079
40.7191,-73.9896,1175,14543,1.872340426
40.7261,-73.9919,1175,12958.5,1.81787234
40.726,-73.9834,1174,12981,1.797274276
40.7335,-73.9996,1173,15281,1.720375107
40.7259,-73.9836,1173,14404.5,1.771526002
40.7198,-73.9875,1172,15875.5,1.818259386
40.7299,-74.0006,1172,16181.5,1.883959044
40.7639,-73.9977,1171,14275,1.933390265
40.7187,-73.9891,1170,16103.5,1.847863248
40.6451,-73.7768,1168,48665.5,1.659246575
40.7419,-74.004,1168,13080.2,1.709760274
40.7398,-74.0062,1167,14978.27,1.841473865
40.7394,-74.0018,1163,12859.5,1.809114359
40.7741,-73.8746,1161,31063.58,1.776055125
40.7408,-74.0077,1158,13657,1.879965458
40.7336,-74.0029,1157,15441,1.75713051
40.7401,-74.0053,1154,13957.5,1.863951473
40.7222,-73.9576,1149,18376,1.779808529
40.7258,-73.992,1140,12604,1.814035088
40.6486,-73.7834,1140,48809,1.604385965
40.7257,-73.992,1139,12189.5,1.75856014
40.7397,-74.0024,1137,15052,1.653474055
40.7215,-73.9935,1135,13567,1.806167401
40.7325,-73.9878,1131,12854,1.76127321
40.7297,-73.9898,1129,14721.5,1.754650133
40.7399,-74.006,1128,13922,1.749113475
40.7296,-73.987,1128,13251.5,1.796985816
40.7269,-73.989,1116,14267.5,1.874551971
40.7851,-73.9559,1115,13948,1.538116592
40.7294,-73.99,1115,14214,1.721076233
40.7312,-73.9826,1114,14523.5,1.771992819
40.7246,-73.9907,1110,13907.5,1.536936937
40.7643,-73.987,1108,13709,1.783393502
40.7311,-74.0014,1106,15979.5,1.717902351
40.7185,-73.9884,1106,17026.5,1.572332731
40.7445,-74.0065,1105,13022,2.049773756
40.7188,-73.9887,1103,14767.5,1.800543971
40.7608,-73.9903,1101,15102,1.76475931
40.74,-74.0061,1099,13335,1.727024568
40.7263,-73.9918,1099,12391,1.750682439
40.7501,-74.0024,1099,12236,1.939035487
40.7419,-74.0038,1093,12311.5,1.821591949
40.7261,-73.9835,1089,13821.5,1.831955923
40.726,-73.9835,1087,12507.5,1.818767249
40.7254,-73.984,1086,13870,1.756906077
40.7269,-73.9889,1084,14100.5,1.790590406
40.7422,-74.0045,1084,13032,1.832103321
40.7293,-73.9871,1083,12908,1.956602031
40.7324,-73.9878,1083,12299,1.734995383
40.731,-74.0015,1082,15270.5,1.712569316
40.6486,-73.7835,1082,46146.5,1.578558226
40.7134,-73.9583,1081,12755.8,1.753006475
40.6448,-73.782,1081,44008,1.796484736
40.728,-73.9991,1079,14061,1.656163114
40.6447,-73.7822,1078,44657,1.702226345
40.7441,-74.0066,1077,12186.5,1.795728877
40.6446,-73.7819,1075,42330,1.546046512
40.7406,-74.0056,1075,13163,1.819534884
40.7269,-73.9917,1075,11932.8,1.929302326
40.7613,-73.9638,1074,13573.5,1.724394786
40.7285,-73.9998,1072,14137,1.666044776
40.7257,-73.9838,1070,14536,1.885046729
40.7223,-73.9861,1068,13249.5,1.74906367
40.7225,-73.9862,1065,14915,1.776525822
40.7405,-74.0078,1065,13322,1.883568075
40.7335,-74.003,1061,15415,1.566446748
40.7295,-73.987,1061,12203.5,1.872761546
40.719,-73.9893,1059,13041,1.924457035
40.7295,-73.9899,1059,13681,1.769593957
40.7225,-73.9861,1057,13966.5,1.78807947
40.7504,-73.9947,1055,14510,1.672037915
40.7201,-73.9941,1055,13878.5,1.746919431
40.7187,-73.9883,1053,15037,1.619183286
40.7211,-73.9878,1052,14061,1.775665399
40.7271,-73.9917,1050,10981,1.739047619
40.764,-73.9978,1049,13162,1.860819828
40.7317,-74.0011,1047,15660,1.695319962
40.725,-73.9844,1045,13546,1.748325359
40.7279,-73.9992,1043,13789.5,1.633748802
40.7404,-74.0057,1042,12548.5,1.858925144
40.7283,-73.9995,1042,13256,1.774472169
40.7648,-73.9955,1040,12947,1.784615385
40.6448,-73.7817,1039,47896,2.002887392
40.7214,-73.9891,1036,13020,1.75965251
40.7212,-73.9975,1036,10532,1.909266409
40.74,-74.0059,1036,12997,1.816602317
40.7301,-74.0005,1033,13332.5,1.959341723
40.7285,-73.9999,1032,13626,1.778100775
40.7512,-73.9942,1032,12929.5,1.601744186
40.7274,-73.9939,1032,9680.5,1.647286822
40.7673,-73.996,1026,14449.5,1.652046784
40.7399,-74.0055,1026,11726.5,1.643274854
40.7333,-74.003,1025,14669.5,1.824390244
40.7185,-73.9885,1025,14939,1.650731707
40.774,-73.8744,1024,27761.5,1.727539063
40.7198,-73.9874,1023,13353.6,1.703812317
40.7214,-73.9885,1023,13162,1.782013685
40.75,-74.0027,1023,11019.5,1.683284457
40.7398,-74.0024,1022,13221.5,1.703522505
40.7294,-73.9899,1021,12808.5,1.717923604
40.7409,-74.0051,1019,13330.5,1.797841021
40.7393,-74.0064,1017,13164,1.864306785
40.7205,-73.9872,1016,12965.5,1.861220472
40.7188,-73.9888,1015,12997,1.747783251
40.7314,-73.9885,1011,12105.7,1.796241345
40.7456,-73.9782,1009,11441,1.685827552
40.7298,-74.0006,1008,13847.5,1.912698413
40.7251,-73.9843,1007,13813.5,1.743793446
40.7259,-73.9919,1004,11105,1.731075697
40.7505,-73.9946,1004,13974,1.670318725
40.7309,-74.0015,1004,14367.5,1.770916335
40.7218,-73.958,1003,14896.5,1.829511466
40.7281,-73.9991,1003,12955,1.808574277
40.7309,-74.0014,1000,14375.5,1.792
40.7382,-74.0094,1000,11537.5,1.765
40.7271,-73.9915,998,10909.5,1.845691383
40.7396,-74.0025,996,12723,1.580321285
40.7224,-73.9873,995,14145.61,1.775879397
40.7263,-73.9919,994,11305.5,1.693158954
40.7258,-73.9919,991,11316,1.74974773
40.7178,-73.9578,989,13465.5,1.600606673
40.7226,-73.9886,989,13530,1.804853387
40.7252,-73.9842,988,13368.5,1.892712551
40.7187,-73.9884,986,14193.05,1.577079108
40.7314,-73.9886,984,11818.5,1.817073171
40.7428,-74.0041,982,11651.5,1.698574338
40.7396,-74.0023,981,13286,1.654434251
40.7411,-74.0075,980,12605.5,1.720408163
40.7256,-73.9838,977,13130,1.834186285
40.7284,-73.9997,976,12701.5,1.781762295
40.726,-73.9837,976,12330,1.594262295
40.7583,-73.9378,975,16985,2.01025641
40.7284,-73.9995,975,12501.5,1.797948718
40.741,-74.0056,974,12053.5,1.9137577
40.7394,-74.0019,972,10668,1.673868313
40.7266,-73.9917,972,10672,1.845679012
40.645,-73.7811,971,48987.05,1.773429454
40.7399,-74.0053,970,10864.5,1.696907216
40.72,-73.9875,970,12871.5,1.813402062
40.7519,-74.0042,970,9914.5,1.435051546
40.7262,-73.9919,966,10471,1.744306418
40.7191,-74.0051,964,11914,1.57780083
40.7209,-73.9977,958,9801.8,1.701461378
40.7262,-73.9835,958,12399.3,1.728601253
40.7296,-73.9899,957,12715,1.78369906
40.7292,-73.9872,956,11905.5,1.827405858
40.741,-74.0077,955,13262.22,1.722513089
40.7214,-73.9936,954,11173.5,1.911949686
40.7334,-74.0064,953,10644.5,1.63273872
40.7498,-74.0028,952,10248.5,1.651260504
40.7213,-73.9886,952,12204,1.710084034
40.7447,-73.9989,951,10446,1.567823344
40.7411,-74.0051,950,11136,1.847368421
40.7286,-74,950,12926.5,1.752631579
40.7393,-74.0065,947,12309,1.78563886
40.7302,-74.0004,945,12308,1.850793651
40.7261,-73.9895,944,12312.5,1.633474576
40.7254,-73.9841,943,12435.5,1.656415695
40.7187,-73.989,943,13194,1.75397667
40.7334,-74.0029,943,14227.5,1.768822906
40.7406,-74.0087,942,12015,1.802547771
40.7291,-73.9874,942,12073,1.752653928
40.731,-74.0012,941,13777.5,1.804463337
40.7713,-73.9565,940,11080,1.695744681
40.7397,-74.0025,939,11879.5,1.749733759
40.7394,-74.0017,938,10936.5,1.722814499
40.7299,-73.9807,936,12273,1.797008547
40.7337,-74.0026,935,12096,1.788235294
40.7199,-73.9876,934,12020,1.764453961
40.7275,-73.9853,933,11600,1.707395498
40.7184,-73.9873,932,12508.5,1.756437768
40.7439,-73.9838,932,10253,1.712446352
40.7439,-74.0066,931,11041,1.758324382
40.7397,-74.0054,929,10135.5,1.781485468
40.7263,-73.9894,929,12409.5,1.75780409
40.7229,-73.989,926,14303.5,1.755939525
40.7199,-73.9877,925,11960,1.709189189
40.743,-74.0039,925,11164.5,1.723243243
40.7224,-73.9872,924,13492.5,1.882034632
40.7312,-73.9827,924,11968.2,1.648268398
40.731,-74.0013,923,13535.5,1.838569881
40.7444,-74.0065,921,11072.5,1.984799131
40.7188,-73.9886,921,12880,1.817589577
40.7283,-73.9994,921,12416.5,1.814332248
40.7408,-74.0052,919,11784,1.649619151
40.7421,-74.0038,919,9937.5,1.710554951
40.7412,-74.0082,918,11752.5,1.737472767
40.7337,-74.0024,917,12263.5,1.583424209
40.7409,-74.005,917,11879,1.823336968
40.7337,-74.0027,915,11900.5,1.807650273
40.7295,-74.0022,915,11886,1.649180328
40.7187,-73.9881,914,13244.25,1.743982495
40.718,-73.9856,912,12335,1.76754386
40.7297,-73.9897,911,12204.03,1.870472009
40.7411,-74.0056,906,11954,1.703090508
40.7408,-74.0051,906,11614,1.644591611
40.7223,-73.986,905,11091,1.834254144
40.7738,-73.871,904,24108,1.907079646
40.764,-73.9979,903,11463.5,1.723145072
40.7295,-73.99,903,11477.5,1.676633444
40.7268,-73.9917,902,9449,1.813747228
40.7404,-74.008,902,11139,1.840354767
40.7298,-74.0101,902,10584.5,1.718403548
40.7199,-73.9874,901,11551.5,1.776914539
40.7408,-74.0055,900,11442.5,1.812222222
40.7226,-73.9878,900,12813.5,1.766666667
40.7209,-73.9938,900,10383,1.715555556
40.7439,-74.0067,899,10797,1.729699666
40.7214,-73.9935,898,9947,1.880846325
40.7258,-73.9837,895,11398,1.970949721
40.7286,-74.0001,895,11871.5,1.794413408
40.7643,-73.9884,895,11357,1.631284916
40.727,-73.9889,893,11499.5,1.789473684
40.721,-73.9975,892,9122,1.670403587
40.7315,-73.9824,889,10251,1.634420697
40.7716,-73.9826,889,11316.5,1.772778403
40.7408,-74.0054,889,11308.4,1.744656918
40.7427,-74.0041,888,10060.5,1.684684685
40.7292,-73.9873,887,11027.5,1.820744081
40.7271,-73.9916,886,9143,1.844243792
40.7519,-74.0043,885,9158.5,1.484745763
40.7436,-74.0034,885,10041.5,1.798870056
40.7253,-73.9841,884,11525.5,1.771493213
40.7245,-73.9907,882,11246,1.780045351
40.7244,-73.9908,882,11568,1.806122449
40.7208,-73.9938,881,10403.5,1.709421112
40.7439,-74.0065,880,10656.5,1.826136364
40.7267,-73.9917,879,9708.5,1.897610922
40.7233,-73.9883,876,10530,1.689497717
40.721,-73.9936,874,10316.5,1.795194508
40.7294,-73.987,873,9968.5,1.877434135
40.7231,-73.9857,872,11458,1.684633028
40.7439,-74.0064,870,10029,1.834482759
40.7408,-74.0049,870,11055.5,1.729885057
40.7407,-74.0049,869,10568,1.741081703
40.7281,-73.9881,867,10999,1.786620531
40.7335,-74.0027,866,11224,1.659353349
40.7399,-74.0024,865,10669.5,1.729479769
40.7191,-73.9895,863,11243.5,1.876013905
40.7215,-73.9886,863,11104,1.796060255
40.7312,-74.0014,861,12603.5,1.629500581
40.7218,-73.9921,861,10356,1.786295006
40.7646,-73.9881,861,9500.5,1.695702671
40.7287,-74.0002,860,11964.5,1.765116279
40.744,-74.0069,859,10144.5,1.725261932
40.7451,-73.9487,858,10959.5,1.411421911
40.7265,-73.9917,858,9945.5,1.701631702
40.7226,-73.9861,858,11414,1.747086247
40.7643,-73.9871,854,10639.5,1.728337237
40.7611,-73.9907,854,11172,1.721311475
40.7219,-73.9579,853,13663.5,1.901524033
40.7218,-73.9889,851,10909,2.007050529
40.7385,-73.9855,850,8510.5,1.702352941
40.7188,-73.9881,849,11630,1.64664311
40.7313,-73.9824,848,10235,1.650943396
40.6487,-73.7836,846,36957,1.715130024
40.7333,-74.0063,846,9382.5,1.613475177
40.73,-73.9807,845,11253,1.775147929
40.7257,-73.9898,844,10800.5,1.79028436
40.7272,-73.9917,844,8926.5,1.861374408
40.6486,-73.7836,843,35465,1.601423488
40.7211,-73.9879,843,10922,1.705812574
40.6446,-73.7824,843,34893.5,1.685646501
40.7403,-74.0053,842,10901,1.768408551
40.7497,-74.0028,841,9603.5,1.640903686
40.7419,-74.0041,839,9497.5,1.697258641
40.7446,-73.981,838,8416,1.818615752
40.7217,-73.9889,837,11154.5,1.798088411
40.7259,-73.992,837,9187,1.92353644
40.7339,-74.0026,837,10724,1.774193548
40.7421,-74.0046,837,10893,1.839904421
40.721,-73.9938,836,9940.5,1.748803828
40.7647,-73.9956,835,10077.5,1.750898204
40.7263,-73.9917,834,9425.5,1.732613909
40.7315,-73.9825,834,9623.5,1.551558753
40.7396,-74.0019,834,9295.5,1.68705036
40.7438,-74.0063,833,9133,1.773109244
40.6487,-73.7835,833,36339.5,1.49939976
40.7298,-73.9897,832,10159.5,2.067307692
40.7423,-74.0041,832,9077.5,1.578125
40.6455,-73.7767,830,35698.5,1.857831325
40.6486,-73.7833,829,35454.5,1.656212304
40.743,-74.004,829,9806,1.697225573
40.7257,-73.9899,828,10497.4,1.745169082
40.7213,-73.9877,827,10672,1.886336155
40.7429,-74.004,827,10295,1.711003628
40.7648,-73.9879,827,9721,1.749697703
40.7439,-73.9837,826,8912.5,1.791767554
40.7275,-73.9939,826,7874.5,1.771186441
40.7255,-73.984,826,10899.5,1.749394673
40.7282,-73.9992,824,10849,1.850728155
40.7405,-73.9982,824,10130,1.692961165
40.7407,-74.005,823,9904.5,1.602673147
40.7258,-73.9838,822,11040,1.829683698
40.7222,-73.9971,820,10297.5,1.703658537
40.726,-73.9918,820,9038,1.636585366
40.7438,-74.0062,820,9365.5,1.787804878
40.7212,-73.9877,819,10658.5,1.744810745
40.7305,-74.0043,819,8264,1.731379731
40.7318,-74.0009,819,11274.5,1.667887668
40.7261,-73.9836,818,9789,1.773838631
40.7401,-74.0058,817,9397.5,1.774785802
40.7272,-73.9915,816,8894.5,1.87745098
40.7395,-74.0065,816,10109.5,1.68627451
40.7283,-73.9996,816,10859,1.763480392
40.7425,-74.0044,814,9960.5,1.738329238
40.718,-73.9857,814,11430.5,1.701474201
40.726,-73.992,814,8920,1.864864865
40.7335,-74.0029,811,11950.5,1.720098644
40.7213,-73.9878,810,10227,1.737037037
40.752,-74.0041,809,8347.5,1.456118665
40.7403,-74.008,808,10079.5,1.948019802
40.752,-74.0042,808,8314,1.472772277
40.7423,-74.0045,807,10247,1.821561338
40.7219,-73.9919,807,9321,1.805452292
40.7396,-74.0063,807,10215.5,1.864931846
40.7441,-74.0069,806,9232,1.781637717
40.7213,-73.9879,806,10524.5,1.833746898
40.7188,-73.9889,805,10035.5,1.777639752
40.7213,-73.9937,805,9361,1.860869565
40.7338,-74.0028,804,9862,1.634328358
40.7201,-73.9882,803,10485.5,1.924034869
40.7226,-73.9879,802,11760.5,1.75436409
40.7213,-73.9975,802,8721.5,1.708229426
40.7317,-74.001,801,11545.5,1.719101124
40.7397,-74.0022,801,10608.5,1.7278402
40.7224,-73.9862,801,10592.5,1.776529338
40.7332,-74.0031,800,11732,1.83875
40.7648,-73.988,800,9560.5,1.69375
40.7382,-74.0095,799,8949.5,1.871088861
40.7212,-73.9879,799,10654.2,1.712140175
40.7197,-73.9877,798,11153,1.780701754
40.7305,-74.0002,798,10894,1.733082707
40.7293,-73.9873,797,9132.5,1.791718946
40.7407,-74.0055,797,9607.5,1.799247177
40.7398,-74.0055,797,8698,1.767879548
40.7313,-73.9823,796,9150.5,1.662060302
40.7765,-73.9528,796,8798.5,1.623115578
40.7304,-74.0002,796,11098.5,1.706030151
40.7413,-74.0082,794,10019,1.811083123
